run:0
Epoch: 000, LR: 0.001000, Loss: 0.0000000, Validation BCE: 49.8392283, Test BCE: 53.9121115, Train ACC: 0.000, Validation ACC: 0.502, Test ACC: 0.461, Test PREC(T/F): 0.460/1.000, Test REC(T/F): 1.000/0.002, Test F1(T/F): 0.630/0.004
Epoch: 001, LR: 0.001000, Loss: 16.7262330, Validation BCE: 17.0418006, Test BCE: 18.7566988, Train ACC: 0.833, Validation ACC: 0.830, Test ACC: 0.812, Test PREC(T/F): 0.753/0.882, Test REC(T/F): 0.881/0.754, Test F1(T/F): 0.812/0.813
Epoch: 002, LR: 0.001000, Loss: 12.1157970, Validation BCE: 15.3269025, Test BCE: 13.8263666, Train ACC: 0.879, Validation ACC: 0.847, Test ACC: 0.862, Test PREC(T/F): 0.887/0.844, Test REC(T/F): 0.802/0.913, Test F1(T/F): 0.842/0.877
Epoch: 003, LR: 0.001000, Loss: 7.1837026, Validation BCE: 10.3965702, Test BCE: 9.5391211, Train ACC: 0.928, Validation ACC: 0.896, Test ACC: 0.905, Test PREC(T/F): 0.903/0.906, Test REC(T/F): 0.888/0.919, Test F1(T/F): 0.895/0.912
Epoch: 004, LR: 0.001000, Loss: 8.1486776, Validation BCE: 10.1822079, Test BCE: 8.7888532, Train ACC: 0.919, Validation ACC: 0.898, Test ACC: 0.912, Test PREC(T/F): 0.922/0.904, Test REC(T/F): 0.883/0.937, Test F1(T/F): 0.902/0.920
Epoch: 005, LR: 0.001000, Loss: 5.1465332, Validation BCE: 7.7170418, Test BCE: 8.3601286, Train ACC: 0.949, Validation ACC: 0.923, Test ACC: 0.916, Test PREC(T/F): 0.900/0.931, Test REC(T/F): 0.921/0.913, Test F1(T/F): 0.910/0.922
Epoch: 006, LR: 0.001000, Loss: 5.5039314, Validation BCE: 6.6452304, Test BCE: 7.8242229, Train ACC: 0.945, Validation ACC: 0.934, Test ACC: 0.922, Test PREC(T/F): 0.862/0.989, Test REC(T/F): 0.988/0.865, Test F1(T/F): 0.921/0.923
Epoch: 007, LR: 0.001000, Loss: 4.5032166, Validation BCE: 6.9667738, Test BCE: 6.7524116, Train ACC: 0.955, Validation ACC: 0.930, Test ACC: 0.932, Test PREC(T/F): 0.898/0.966, Test REC(T/F): 0.963/0.907, Test F1(T/F): 0.929/0.936
Epoch: 008, LR: 0.001000, Loss: 4.0385990, Validation BCE: 6.6452304, Test BCE: 6.6452304, Train ACC: 0.960, Validation ACC: 0.934, Test ACC: 0.934, Test PREC(T/F): 0.920/0.946, Test REC(T/F): 0.937/0.931, Test F1(T/F): 0.928/0.938
Epoch: 009, LR: 0.001000, Loss: 3.8598999, Validation BCE: 7.0739550, Test BCE: 5.1446945, Train ACC: 0.961, Validation ACC: 0.929, Test ACC: 0.949, Test PREC(T/F): 0.924/0.971, Test REC(T/F): 0.967/0.933, Test F1(T/F): 0.945/0.951
Epoch: 010, LR: 0.001000, Loss: 2.1801287, Validation BCE: 6.3236870, Test BCE: 5.6806002, Train ACC: 0.978, Validation ACC: 0.937, Test ACC: 0.943, Test PREC(T/F): 0.903/0.983, Test REC(T/F): 0.981/0.911, Test F1(T/F): 0.941/0.945
Epoch: 011, LR: 0.001000, Loss: 2.0371694, Validation BCE: 5.3590568, Test BCE: 5.2518757, Train ACC: 0.980, Validation ACC: 0.946, Test ACC: 0.947, Test PREC(T/F): 0.913/0.981, Test REC(T/F): 0.979/0.921, Test F1(T/F): 0.945/0.950
Epoch: 012, LR: 0.001000, Loss: 3.2880629, Validation BCE: 6.0021436, Test BCE: 6.0021436, Train ACC: 0.967, Validation ACC: 0.940, Test ACC: 0.940, Test PREC(T/F): 0.941/0.939, Test REC(T/F): 0.928/0.950, Test F1(T/F): 0.934/0.945
